Which stage of life best describes you right now?,What is your age group?,How often do you feel unsure or confused while making everyday decisions?,What kind of decisions do you usually overthink the most?,"When you’re stuck on a decision, what do you usually do first?",How often do you feel overwhelmed by having too many choices?,How comfortable are you taking risks when making decisions?,What matters most to you when making important decisions?,What frustrates you most while making an important decision?,"If an AI could help you make decisions, what would you want it to do?","How important is it for AI suggestions to be ethical, unbiased, and responsible?",How would you prefer AI recommendations to be presented?,What would make you not trust an AI decision support tool?,"In one line, what does “making the right decision” mean to you?",FrustrationScore,RiskScore_raw,RiskScore,RiskCategory
Independent adult / Managing personal and financial decisions,18–21,2.0,Financial or purchase decisions,Go with my gut feeling,2,3,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,Important,Simple step-by-step guidance,Because ai is not a human.,Feels good ,1,2.15,32.20338983050847,Low
Family & responsibility phase,Above 30,3.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),3,3,Long-term outcomes,"Not knowing possible outcomes, Too many options","Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Important,Clear comparison of options,Didn’t understand question properly,Declutterred extra hustle from life and more clarity to achieve the goal,2,2.8,54.23728813559321,Moderate
Early career / Building professional experience,22–25,,I generally don’t overthink decisions,Go with my gut feeling,2,3,Short-term convenience,"Too many options, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Slightly important,Visual outcomes or scenarios,Bias,Having the right outcomes,3,2.15,32.20338983050847,Low
Student / Exploring education and career options,18–21,2.0,I generally don’t overthink decisions,Go with my gut feeling,2,3,Long-term outcomes,Too many options,Compare different options clearly,Extremely important,Visual outcomes or scenarios,It lacking human emotions lol,Do what feels right. Go with the instinct. ,1,2.15,32.20338983050847,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions",Make a pros and cons list,2,3,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Important,Simple step-by-step guidance,.,.,1,2.35,38.983050847457626,Low
Family & responsibility phase,Above 30,2.0,"Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,3,4,Opinions of others,"Fear of making the wrong choice, Not knowing possible outcomes, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes",Important,Clear comparison of options,In Medical field,Positive outcome,3,3.15,66.10169491525423,Moderate
Family & responsibility phase,Above 30,3.0,"Financial or purchase decisions, Health or lifestyle choices",Ask friends or family,2,3,Long-term outcomes,Lack of confidence,Personalize advice based on my situation,Important,Simple step-by-step guidance,Data privacy,To get more clarity to move forward ,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,Below 18,4.0,"Career or education choices, Personal or relationship decisions",Delay the decision,3,3,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Extremely important,Visual outcomes or scenarios,If it lacks accountability for its errors and if there’s no evidence it was properly tested in real world situations ,It means choosing the option that best balances facts and long term impact,3,3.1999999999999997,67.79661016949152,Moderate
Student / Exploring education and career options,18–21,2.0,Financial or purchase decisions,Ask friends or family,1,3,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Show risks and possible outcomes,Important,Clear comparison of options,       ,Feels good ,1,1.8999999999999997,23.728813559322024,Low
Student / Exploring education and career options,18–21,4.0,Personal or relationship decisions,Search online (Google / social media),3,2,Long-term outcomes,Conflicting advice from others,Personalize advice based on my situation,Extremely important,Simple step-by-step guidance,"biased opinions, non personalised answers","Making the right decision for me would be something that benefits me for the longer run, doesn’t have too many risks and that it feels right from within. Done and based with ethically. ",1,2.45,42.37288135593221,Moderate
Early career / Building professional experience,22–25,2.0,I generally don’t overthink decisions,Go with my gut feeling,3,1,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Important,Visual outcomes or scenarios,Generic,Whatever feels good and no regrets later.,1,1.7,16.94915254237288,Low
Student / Exploring education and career options,18–21,3.0,Career or education choices,Go with my gut feeling,2,1,Long-term outcomes,Too many options,Explain why a suggestion is given,Important,Simple step-by-step guidance,Wrong or misleading recommendations,Choosing what’s best after thinking no matter the results.,1,1.6500000000000001,15.254237288135597,Low
Life transition / Re-evaluating goals,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Go with my gut feeling,2,2,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others","Show risks and possible outcomes, Personalize advice based on my situation",Important,Short explanations with reasoning,ai is not a human and somewhat cant understand human emotions ,..,2,2.4,40.67796610169491,Moderate
Student / Exploring education and career options,18–21,3.0,Career or education choices,Ask friends or family,2,3,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Important,Clear comparison of options,"If it gives recommendations without explaining the reasoning, ignores important context, or shows clear bias or inconsistency.","Making a choice that feels thoughtful, informed, and right in the long run.",1,2.35,38.983050847457626,Low
Early career / Building professional experience,Above 30,3.0,"Career or education choices, Financial or purchase decisions",Ask friends or family,3,3,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,"Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Clear comparison of options,Depending on the situations reasojing may lead to give wrong options / Options that provides less outcome ,Clear direction to provide the out come with comapairing all possible outcomes in both positive amd negetuve manner ,1,2.6,47.45762711864407,Moderate
Early career / Building professional experience,18–21,3.0,"Career or education choices, Financial or purchase decisions",Delay the decision,3,4,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Extremely important,Clear comparison of options,If it's not transparent and doesn't give biased opinion ,A decision that is less likely to make future problems in that scenario ,1,2.95,59.322033898305094,Moderate
Family & responsibility phase,Above 30,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,3,1,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,Lack of emotional quotient,Considering all the right parameters including emotional intelligence,2,2.1,30.508474576271187,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others","Compare different options clearly, Explain why a suggestion is given",Important,Short explanations with reasoning,It gives almost the same answers to everyone,"Avoiding mistakes, and works for long term",2,2.8,54.23728813559321,Moderate
Life transition / Re-evaluating goals,22–25,4.0,"Career or education choices, Personal or relationship decisions",Ask friends or family,4,3,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly, Explain why a suggestion is given",Extremely important,Clear comparison of options,If it agrees with me all the time,Something that offers strong long term benefits with little to no risk.,1,3.05,62.71186440677965,Moderate
Student / Exploring education and career options,18–21,3.0,Financial or purchase decisions,Delay the decision,4,2,Short-term convenience,Fear of making the wrong choice,Show risks and possible outcomes,Extremely important,Clear comparison of options,Dhruv soni,Making the right decision means choosing not what you want but what you need,1,2.5,44.06779661016949,Moderate
Student / Exploring education and career options,18–21,4.0,Career or education choices,Ask friends or family,3,2,Long-term outcomes,"Fear of making the wrong choice, Too many options","Break the decision into simple steps, Personalize advice based on my situation",Extremely important,Clear comparison of options,Unethical ,Something that benefits me ,2,2.65,49.15254237288135,Moderate
Student / Exploring education and career options,18–21,2.0,"Career or education choices, Personal or relationship decisions",Search online (Google / social media),4,1,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Important,Simple step-by-step guidance,Not considering emotional aspects of situations.,Taking the right step towards the goal to be achieved.,1,1.95,25.423728813559322,Low
Student / Exploring education and career options,18–21,3.0,Career or education choices,Ask friends or family,1,2,Short-term convenience,Fear of making the wrong choice,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,Beacuse of the internet as not everything is correct,Success,1,1.75,18.64406779661017,Low
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),3,2,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,I wouldn’t trust it if its decisions aren’t transparent or can’t be explained clearly.,"choosing the option that best aligns your values and long term well being, even when it’s hard.",3,2.65,49.15254237288135,Moderate
Student / Exploring education and career options,18–21,2.0,Health or lifestyle choices,Search online (Google / social media),2,2,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,Slightly important,Clear comparison of options,"No Transparency (Black Box Decisions)  If the tool can’t explain why it made a recommendation (no logic, no reasoning, no sources), that’s a red flag. You should be able to see: 	•	What data it used 	•	How confident it is 	•	Key factors influencing the decision  ⸻  📉 2) Poor or Biased Data  If the AI is trained on: 	•	Outdated data 	•	Incomplete data 	•	Biased data (favoring certain groups or outcomes)  Then its decisions can be unfair or wrong. Garbage in = garbage out.","Making the right decision means choosing the option that best aligns with your goals, values, and the available evidence while minimizing harm and risk.”",1,1.8,20.33898305084746,Low
Student / Exploring education and career options,18–21,2.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),3,2,Short-term convenience,Not knowing possible outcomes,Personalize advice based on my situation,Important,Simple step-by-step guidance,"No Transparency (Black Box Decisions)  If the tool can’t explain why it made a recommendation (no logic, no reasoning, no sources), that’s a red flag. You should be able to see: 	•	What data it used 	•	How confident it is 	•	Key factors influencing the decision  ⸻  📉 2) Poor or Biased Data  If the AI is trained on: 	•	Outdated data 	•	Incomplete data 	•	Biased data (favoring certain groups or outcomes)  Then its decisions can be unfair or wrong. Garbage in = garbage out.","“Making the right decision means choosing the option that best aligns with your goals, values, and the available evidence while minimizing harm and risk.”",1,2.0500000000000003,28.813559322033903,Low
Student / Exploring education and career options,18–21,3.0,"Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,3,3,Long-term outcomes,"Fear of making the wrong choice, Too many options, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation",Important,Simple step-by-step guidance,Privacy,Having confidence with future outcomes ,3,3.0,61.01694915254237,Moderate
Independent adult / Managing personal and financial decisions,18–21,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices, I generally don’t overthink decisions",Make a pros and cons list,3,1,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Important,Simple step-by-step guidance,no,no,1,1.9000000000000001,23.728813559322038,Low
Early career / Building professional experience,18–21,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Visual outcomes or scenarios,"Lack of transparency, poor data quality and biased or unfair outcomes",Selecting the most responsible and beneficial option based on facts and context,3,3.0,61.01694915254237,Moderate
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Health or lifestyle choices",Search online (Google / social media),3,3,Short-term convenience,Not knowing possible outcomes,Break the decision into simple steps,Slightly important,Clear comparison of options,Poor or biased data as it always show sponsors one first,Long term impact,1,2.6,47.45762711864407,Moderate
Early career / Building professional experience,18–21,3.0,Health or lifestyle choices,Go with my gut feeling,3,1,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,Important,Visual outcomes or scenarios,Outcomes and right evaluation ,Positive result,1,1.9000000000000001,23.728813559322038,Low
Student / Exploring education and career options,18–21,3.0,Career or education choices,Search online (Google / social media),3,3,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,Slightly important,Simple step-by-step guidance,,,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),3,3,Long-term outcomes,"Fear of making the wrong choice, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,hallucinations obv and when it has limited decision support ideas,when it actually helps me in reducing my confusions,2,2.8,54.23728813559321,Moderate
Early career / Building professional experience,18–21,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,2,2,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence",Personalize advice based on my situation,Important,Clear comparison of options,Always sounds 100% confident,The option that balances consequences both now and in long term ,3,2.4000000000000004,40.67796610169493,Moderate
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,4,2,Short-term convenience,Not knowing possible outcomes,"Show risks and possible outcomes, Explain why a suggestion is given",Extremely important,Clear comparison of options,If it shares my personal data across platforms,Which can give me long term relief,1,2.7,50.84745762711865,Moderate
Early career / Building professional experience,18–21,3.0,Financial or purchase decisions,Delay the decision,3,2,Avoiding mistakes / minimizing risk,Too many options,Compare different options clearly,Important,Short explanations with reasoning,It can’t explain its decisions,What satisfied my soul.,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,3,3,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Important,Visual outcomes or scenarios,"AI does not think like a human and according to me , AI will not be able to think about my perspective.",A decision that is okay for my future and will provide long term benefits to me.,5,3.5999999999999996,81.3559322033898,High
Life transition / Re-evaluating goals,18–21,4.0,Career or education choices,Search online (Google / social media),2,3,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Extremely important,Short explanations with reasoning,Not being realistic ,Solving my problem ,1,2.55,45.762711864406775,Moderate
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Health or lifestyle choices",Search online (Google / social media),2,3,Opinions of others,Too many options,Compare different options clearly,Important,Clear comparison of options,if ai shares my personal info,choosing the best possible option,1,2.55,45.762711864406775,Moderate
Student / Exploring education and career options,18–21,2.0,I generally don’t overthink decisions,Go with my gut feeling,1,1,Long-term outcomes,Too many options,Explain why a suggestion is given,Important,Clear comparison of options,nothing,AI,1,1.2,0.0,Low
Independent adult / Managing personal and financial decisions,22–25,3.0,"Career or education choices, Personal or relationship decisions",Ask friends or family,2,3,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Important,Simple step-by-step guidance,Lack of transparency,Making an informed choice that leads to the best possible outcome.,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Health or lifestyle choices",Delay the decision,3,2,Other,Too many options,Explain why a suggestion is given,Extremely important,Clear comparison of options,.,I can make it right ,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,18–21,3.0,Health or lifestyle choices,Make a pros and cons list,3,3,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Extremely important,Clear comparison of options,Wrong information ,Important ,1,2.6,47.45762711864407,Moderate
Early career / Building professional experience,18–21,3.0,Personal or relationship decisions,Go with my gut feeling,3,3,Short-term convenience,Too many options,Compare different options clearly,Slightly important,Clear comparison of options,In personal matter ,Which is beneficial to me,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Ask friends or family,2,3,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Important,Simple step-by-step guidance,AI cannot explain its intuition or be held morally accountable for its mistakes,Choosing the option that can stand by me  tomorrow even after the emotions cool down,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,18–21,3.0,Financial or purchase decisions,Go with my gut feeling,3,1,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,Extremely important,Simple step-by-step guidance,Leaking information ,Positive ,1,1.9000000000000001,23.728813559322038,Low
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Search online (Google / social media),2,2,Short-term convenience,Not knowing possible outcomes,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,Deepfake,Success,1,2.0,27.11864406779661,Low
Early career / Building professional experience,18–21,4.0,Financial or purchase decisions,Go with my gut feeling,4,1,Short-term convenience,Not knowing possible outcomes,Compare different options clearly,Not important,Short explanations with reasoning,No I do not trust ai because of all the ai videos that got leak with fake information ,Making right decisions makes you think properly and perpetually ,1,2.3500000000000005,38.98305084745765,Low
Early career / Building professional experience,22–25,2.0,I generally don’t overthink decisions,Go with my gut feeling,2,3,Long-term outcomes,Conflicting advice from others,Compare different options clearly,Slightly important,Visual outcomes or scenarios,"It hallucinates / fabricates important facts, citations, studies, numbers or people — and presents them as real",Making the right decision means choosing the action that — given everything you actually care about and the true probabilities at the time — gives you the highest probability of the future you most prefer,1,2.15,32.20338983050847,Low
Student / Exploring education and career options,18–21,4.0,Financial or purchase decisions,Ask friends or family,3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Slightly important,Visual outcomes or scenarios,Maybe it can't understand those emotions that an human can like somethimes you make some decisions just for experience or you know it will have bad outcome but you still do it just because you want to no AI can get that feeling ,"To me its something that end up remaining a mark , it can be wrong or right doesn't matter but i should be satisfied with the outcomes ",3,3.1999999999999997,67.79661016949152,Moderate
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,3,3,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation",Extremely important,Visual outcomes or scenarios,Biased training data of the AI,A part of life,2,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Personal or relationship decisions",Ask friends or family,4,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Clear comparison of options,when it acts like chatgpt agrees to everything is there just to agree,"It means that I doesn’t have negative long term effects, satisfies my need at the time, making the best out of the situation ",3,3.4499999999999997,76.27118644067797,High
Family & responsibility phase,Above 30,2.0,Financial or purchase decisions,Make a pros and cons list,2,3,Long-term outcomes,Too many options,Compare different options clearly,Important,Visual outcomes or scenarios,Data Privacy n security issues,It Involves best possible action among many alternatives to achieve long term goal.,1,2.15,32.20338983050847,Low
Early career / Building professional experience,18–21,2.0,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,"Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Compare different options clearly",Important,Clear comparison of options,The breach of data these days.,Thinking first and then making a decision ,2,2.5999999999999996,47.457627118644055,Moderate
Student / Exploring education and career options,18–21,4.0,Career or education choices,Delay the decision,4,1,Avoiding mistakes / minimizing risk,Too many options,Compare different options clearly,Important,Visual outcomes or scenarios,🚬🚬💨💨,Weed,1,2.3500000000000005,38.98305084745765,Low
Student / Exploring education and career options,18–21,2.0,Health or lifestyle choices,Go with my gut feeling,2,2,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly",Important,Clear comparison of options,.,.,2,2.0,27.11864406779661,Low
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,4,2,Long-term outcomes,Not knowing possible outcomes,Personalize advice based on my situation,Extremely important,Clear comparison of options,not transparent ,not regretting it later,1,2.7,50.84745762711865,Moderate
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Delay the decision,2,2,Avoiding mistakes / minimizing risk,Lack of confidence,"Show risks and possible outcomes, Personalize advice based on my situation",Important,Visual outcomes or scenarios,If it is wasting my time and not helping me with my situatiin.,The decision which makes most people happy.,1,2.0,27.11864406779661,Low
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,2,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly",Important,Short explanations with reasoning,I like to learn from my mistakes even if it breaks me ," accept things if you aren't capable of changing them , to learn something and become better ",4,3.1499999999999995,66.10169491525421,Moderate
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Delay the decision,1,2,Short-term convenience,Lack of confidence,"Break the decision into simple steps, Show risks and possible outcomes",Extremely important,Clear comparison of options,May or may not ai will understand my feelings ,The thing good for me,1,1.75,18.64406779661017,Low
Early career / Building professional experience,18–21,2.0,I generally don’t overthink decisions,Make a pros and cons list,1,1,Opinions of others,"Not knowing possible outcomes, Too many options",Show risks and possible outcomes,Slightly important,Clear comparison of options,"Lack of transparency and explainability, its mean Confidence are the key of my life","You may not control all the events that happen to you, but you can decide not to be reduced by them",2,1.4,6.779661016949151,Low
Student / Exploring education and career options,Above 30,3.0,Career or education choices,Ask friends or family,2,4,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,Important,Clear comparison of options,.,.,1,2.7,50.84745762711865,Moderate
Family & responsibility phase,Above 30,3.0,I generally don’t overthink decisions,Ask friends or family,2,3,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Extremely important,Clear comparison of options,Lack of emotion,Feasible,1,2.35,38.983050847457626,Low
Life transition / Re-evaluating goals,18–21,4.0,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),1,1,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Extremely important,Clear comparison of options,"AI may give advice, but the decision of what’s right or wrong is mine",Choosing what aligns with your values and owning the outcome,1,1.5999999999999999,13.559322033898303,Low
Others,Above 30,3.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),2,2,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,Extremely important,Simple step-by-step guidance,If it is biased or talking only about one option. AI should give pros and cons of all options in a fair way. As decision has to be done by me ,Selecting the best option based on desired outcomes,1,2.0,27.11864406779661,Low
Student / Exploring education and career options,18–21,3.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),1,3,Long-term outcomes,Conflicting advice from others,"Show risks and possible outcomes, Compare different options clearly",Extremely important,Clear comparison of options,Favoring something or someone while ditching the other,Long term outcomes how  the decision will affect my upcoming life,1,2.1,30.508474576271187,Low
Family & responsibility phase,Above 30,3.0,I generally don’t overthink decisions,Ask friends or family,2,3,Long-term outcomes,"Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation",Important,Clear comparison of options,Its will always be biased,Shows how sincere you are in taking life challenges,2,2.55,45.762711864406775,Moderate
Student / Exploring education and career options,18–21,3.0,Career or education choices,Ask friends or family,3,2,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,Important,Clear comparison of options,maybe biased decision ,"Making the right decision means choosing the option that best balances facts, ethics, and long-term impact for the people affected",1,2.25,35.59322033898305,Low
